Protein	Protein(Ensembl)	Gene_Id	Source ID	ratio	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P04173	YCL018W	CENPK1137D_4480	fluxes_Gecko_Lahtvee2017_EtOH40	0.0538200685862557	26.4291970081942	0.347492372562933	0.4403	0.2901	0.3061	0.1822	0.438	0.486	0.686	34.42	0.38	0.441	353	364	-0.035165	0.049451	0.745	0.822541372152581	2.21396699669372	1.54517330814965	0.131325579995234	0.655555555555556	0.883802780593943	0.399194198429241	0.527446462292395	0.341351005424765	0.366035766584755	0.222769694579826	34.4174782901284	48.0601427432434	54.4092979945013	0.344286391690952	-0.2141	0.0453
P32784	YBL011W	CENPK1137D_4915	fluxes_Gecko_Yu2021_Gln_glc1	0.0538507894057208	41.9669806365229	0.314442587056388	0.3339	0.3339	0.3605	0.2529	0.166	0.147	0.496	53.53	0.448	0.43	736	759	-0.295389	0.086957	0.519	0.606345395011186	0.992207506644308	0.482115726270809	-0.459280019168117	0.320375335120643	0.539691481890742	0.543930053216392	0.221125656411722	0.458656800354016	0.16124088201809	1.07314363167744	53.5302451365135	58.1530221801726	35.67613981589	0.061120752867098	-0.032	0.0185
P00830	YJR121W	CENPK1137D_1415	fluxes_Gecko_Yu2021_N30_005	0.053853111461707	38.3519942357784	0.352064950094062	0.4843	0.253	0.331	0.1367	0.425	0.473	0.679	36.21	0.317	0.43	502	511	-0.018004	0.058708	0.735	0.792116673486654	2.12066901597432	1.52520179608374	0.08432785473584	0.511857707509881	0.858066962434441	0.404620879529478	0.487546099513152	0.319660061222735	0.35621073250774	0.323990160207938	36.2066158847906	49.8625357491062	50.5729892840213	0.35750015291668	-0.2583	0.0385
P47176	YJR148W	CENPK1137D_1444	fluxes_Gecko_Yu2021_Phe_std	0.0541854985970188	36.2710419703208	0.322650660899818	0.4096	0.2765	0.3356	0.2259	0.195	0.229	0.536	50.57	0.394	0.444	360	376	-0.2875	0.093085	0.56	0.666944072003732	0.954257928498231	0.624166135103497	-0.35313291182588	0.392370572207084	0.525853327510718	0.551059951200282	0.234806872066415	0.3761929057998	0.124196866139024	0.64545680286169	50.5684445888165	60.382654117981	39.6922416605349	0.122804060817288	-0.0707	0.0579
P00942	YDR050C	CENPK1137D_3869	fluxes_Gecko_Yu2020_CN115	0.0543336344531263	24.1020666486384	0.441576956865518	0.4523	0.3819	0.2256	0.1889	0.817	0.82	0.893	26.59	0.451	0.445	244	248	-0.105242	0.080645	0.889	1.06719693226257	2.10124552843056	1.67617930680081	0.437658979286473	0.846774193548387	1.41785407998707	0.674768398458451	0.833265207404833	0.497121760198328	0.586168477901671	0.218392503312126	26.5913437504798	35.8173586840843	49.7691210029034	0.62235402600531	-0.2621	0.1017
P47096	YJR025C	CENPK1137D_1321	fluxes_Gecko_Yu2021_N30_013	0.0544790863540268	40.9276140907345	0.279521654400414	0.4493	0.2391	0.377	0.2613	0.173	0.103	0.482	53.01	0.365	0.405	170	177	-0.528814	0.090395	0.558	0.748649275293397	0.744460910962667	0.727873411508765	-0.458180540730573	0.463276836158192	0.565983794991303	0.760259923196539	0.355718143052698	0.488708802146449	0.206637735492382	0.881355187552938	53.0131970638587	55.925293673903	33.1638020436131	0.196636428161924	-0.0551	0.024
P17505	YKL085W	CENPK1137D_919	fluxes_Gecko_Yu2021_Phe_std	0.0545565161645172	37.9078873458557	0.387424879557331	0.36	0.3418	0.306	0.2163	0.313	0.423	0.652	44.52	0.448	0.453	328	334	-0.100599	0.047904	0.647	0.668944308839745	2.26628304431627	1.24150676972991	-0.09567619871815	0.342424242424242	0.65160460299954	0.287521280553959	0.412204194617335	0.332019288712385	0.282936600224184	0.272125308266178	44.5200994425068	54.5123251974362	54.2920691514407	0.190884279410693	-0.1232	0.062
P33734	YBR248C	CENPK1137D_4805	fluxes_Gecko_Yu2021_Ile_std	0.0545685356935016	32.8443147263244	0.286405002931606	0.4182	0.2295	0.4015	0.2434	0.16	0.139	0.491	49.93	0.356	0.415	542	552	-0.339674	0.096014	0.541	0.640849714525236	0.864155698563916	0.49403882505645	-0.47232409466007	0.295668549905838	0.516700795360202	0.5979255777852	0.233405077995382	0.472442784165217	0.1167583862284	0.893760952956897	49.9258447048428	60.6601601061144	37.6705237431838	0.098909128876536	0.0026	0.0277
P29509	YDR353W	CENPK1137D_4179	fluxes_Gecko_Yu2021_N30_013	0.0546261545033512	33.0992440064698	0.369478951772066	0.4048	0.3294	0.315	0.1853	0.315	0.403	0.643	42.89	0.409	0.457	308	319	-0.158307	0.068966	0.65	0.705648483694116	1.61541318507938	1.29395553656494	-0.089962937065393	0.345047923322684	0.656347631697036	0.406303252789646	0.395934013743884	0.305987340797635	0.23831744533123	0.278691376197478	42.8887059969122	56.0568190617726	54.4972490257405	0.214138189530015	-0.1332	0.0655
P37292	YBR263W	CENPK1137D_4822	fluxes_Gecko_Yu2021_N30_010	0.0547557758168842	32.337462831794	0.343692152861211	0.3581	0.3223	0.3509	0.2114	0.285	0.404	0.638	42.26	0.423	0.448	473	490	-0.269592	0.081633	0.63	0.666412955622567	1.9535605130226	1.06381949141417	-0.120755788701975	0.417879417879418	0.663230799016511	0.339498466822686	0.385826566944719	0.362680482975384	0.301249333638873	0.365213799990853	42.2626379809477	51.8432514025968	52.2941272257762	0.180667669342404	-0.0509	0.0585
P13298	YML106W	CENPK1137D_168	fluxes_Gecko_Yu2021_N30_010	0.0548914133772223	32.4045720276646	0.324356963875692	0.4167	0.3389	0.2983	0.2143	0.256	0.293	0.587	42.44	0.422	0.413	223	226	0.141593	0.088496	0.61	0.680616498399433	1.5482467424773	0.921382157788485	-0.180127735866595	0.391891891891892	0.5983295253459	0.386456182293355	0.377878754313675	0.410121632071393	0.19977451539075	0.372864380519953	42.4418110978397	56.4875610788529	54.8452904075214	0.166570760376619	-0.1324	0.0345
P47125	YJR078W	CENPK1137D_1371	fluxes_Gecko_Yu2021_std_010	0.0549529129292018	27.3396434878567	0.301749855430546	0.3071	0.2826	0.3284	0.3518	0.126	0.115	0.466	54.68	0.486	0.453	436	453	-0.272406	0.072848	0.461	0.619605679221348	0.82111848298329	0.566898267961644	-0.640333071769035	0.288288288288288	0.615144976303472	0.749154950292344	0.328092294414348	0.578749862112027	0.257698375594809	1.71400787594826	54.684995053336	53.2076381339245	29.2010402355471	0.079956916415976	0.0855	0.0282
P21264	YOR128C	CENPK1137D_2146	fluxes_Gecko_Lahtvee2017_Osmo06	0.0552676357470634	41.4743606348944	0.306746407592906	0.4255	0.1965	0.4085	0.2054	0.179	0.209	0.527	46.71	0.314	0.403	554	571	-0.003853	0.056042	0.57	0.65223289021039	1.0387169395556	0.445675970462254	-0.393430402817037	0.422101449275362	0.508394407631204	0.489444610240701	0.1872939784371	0.42024697504521	0.093760223818193	0.632761484153968	46.7051792137039	60.8884703975503	43.1478101774634	0.133694839297756	-0.0193	0.038
P08525	YJL166W	CENPK1137D_1467	fluxes_Gecko_Yu2020_CN50	0.0553877302620688	32.3579982796831	0.263222835859868	0.5143	0.1714	0.4375	0.1667	0.211	0.286	0.57	39.15	0.256	0.39	86	94	-0.529787	0.202128	0.651	0.868185768055912	0.984833781252048	0.886177832336261	-0.253169244205919	0.604395604395604	0.634012320771918	0.64377596792616	0.467680360197266	0.52775001036113	0.172201960948458	0.35307651016417	39.1536831198191	59.3747811128087	44.5556841731577	0.349494710583908	0.0859	0.0757
P13188	YOR168W	CENPK1137D_2187	fluxes_Gecko_Lahtvee2017_REF	0.0557181015377964	30.2120506748647	0.321906737562735	0.4943	0.2179	0.3907	0.2011	0.269	0.277	0.578	40.98	0.314	0.378	784	809	-0.659333	0.100124	0.663	0.705363205019304	1.34899663461975	0.751788483902549	-0.204474639840167	0.48306148055207	0.571331524765012	0.423523313626395	0.253271925368605	0.336892531332571	0.158606920322093	0.482005159945517	40.9759019975197	56.9037714663652	48.7057550688192	0.177884284011774	-0.0838	0.0669
P09436	YBL076C	CENPK1137D_4743	fluxes_Gecko_Lahtvee2017_Osmo06	0.0559700617319308	43.0182776494002	0.344174000515506	0.4641	0.2763	0.353	0.1938	0.342	0.352	0.62	39.51	0.358	0.389	1032	1072	-0.340392	0.113806	0.706	0.738742641771681	1.60658850091121	1.22711126784602	-0.053936086593922	0.540566037735849	0.663672639881504	0.413094354593656	0.325679248612536	0.265403192967341	0.297976191844983	0.436818948858478	39.5118704680237	51.6352696999326	49.7517732159613	0.190690283897539	-0.1637	0.0624
P32449	YBR249C	CENPK1137D_4806	fluxes_Gecko_Yu2021_Gln_glc1	0.0560447397783916	34.0728783089025	0.373306725071238	0.4419	0.3355	0.3136	0.1374	0.527	0.608	0.764	33.52	0.381	0.438	360	370	-0.265135	0.048649	0.784	0.867236769252125	2.22841907397969	2.09980969012888	0.205330573251133	0.731506849315068	0.939439898525669	0.421572364684502	0.585353460691918	0.278765005916317	0.455537354049844	0.195354534504695	33.5242052345826	44.3336142930044	52.023402383896	0.382705632920421	-0.1917	0.0779
P53045	YGR060W	CENPK1137D_3027	fluxes_Gecko_Yu2021_std_010	0.0561772236127828	36.3586369304814	0.360482670743033	0.4156	0.3498	0.365	0.1444	0.501	0.574	0.745	32.97	0.392	0.414	286	309	-0.101942	0.18123	0.802	0.928098155532398	1.96413853716648	2.03082273525307	0.208317497233862	0.75503355704698	0.909894459438747	0.463253707526857	0.574258103598428	0.282771161475532	0.395492631895002	0.201612288891095	32.9695996325979	45.4514638434169	52.4501267891695	0.371268079394326	-0.089	0.1146
P13663	YDR158W	CENPK1137D_3979	fluxes_Gecko_Yu2021_Gln_N30	0.0563184846537809	28.101126017315	0.380118879484921	0.4478	0.2896	0.3127	0.1885	0.431	0.549	0.73	37.24	0.376	0.433	359	365	-0.043562	0.054795	0.733	0.80114781229168	1.94866836349622	1.8493711421584	0.084061177670797	0.656424581005587	0.808158169575357	0.41472329756788	0.497478377549399	0.268998669985081	0.334422166916569	0.234596983386613	37.2357562864838	48.2303254728109	52.5665454562275	0.305628690366779	-0.1621	0.0813
P22133	YOL126C	CENPK1137D_2248	fluxes_Gecko_Yu2020_CN50	0.0563423467818082	34.3011956569094	0.319177312714648	0.4206	0.3022	0.2526	0.2461	0.209	0.245	0.549	49.53	0.435	0.439	368	377	0.038727	0.050398	0.563	0.633479692847527	1.72072732881704	0.750045360117555	-0.283340600011163	0.367292225201072	0.597769389980874	0.347393442278752	0.341253149625743	0.454976682439924	0.214710177038392	0.5460057532477	49.5277344013999	58.5263093485696	45.0515100756496	0.133108045592668	-0.1875	0.0391
P38999	YNR050C	CENPK1137D_2729	fluxes_Gecko_Yu2021_Gln_N30	0.0563456077387711	27.3272080948341	0.345442706582703	0.4098	0.2705	0.3887	0.165	0.332	0.403	0.64	38	0.348	0.417	431	446	-0.142153	0.089686	0.69	0.746305334734785	1.72571713834063	1.18277037008599	-0.028421202871318	0.556581986143187	0.697560351638728	0.4042147673804	0.393938662594453	0.333064365288262	0.256042583321737	0.253917075491912	37.9991507946375	51.7438552140453	53.5412239154426	0.246368946283469	-0.0355	0.0755
P04802	YLL018C	CENPK1137D_749	fluxes_Gecko_Yu2021_Phe_N30	0.0563556694122068	32.7373829528923	0.387679756088878	0.3621	0.3429	0.3287	0.2654	0.35	0.464	0.677	39.72	0.461	0.443	545	557	-0.531598	0.084381	0.673	0.726923118184549	1.905416425295	1.54060050748999	-0.02751072928923	0.558608058608059	0.781544137911561	0.410169728536143	0.457244778098517	0.296796460779751	0.396069195824411	0.404004571574052	39.7196364102411	48.1875688487544	50.6522675251109	0.230100805598299	-0.0674	0.0808
P16862	YMR205C	CENPK1137D_242	fluxes_Gecko_Yu2021_Gln_glc1	0.0566291006840612	34.0340425393688	0.378943330681995	0.486	0.2805	0.2992	0.1443	0.512	0.594	0.754	34.05	0.346	0.432	925	959	-0.229718	0.072993	0.785	0.812227409871893	2.26176788852166	1.82412524422441	0.186255277807136	0.670526315789474	0.934670842473307	0.413247905418017	0.564790648185878	0.309622735595669	0.590516875116338	0.415673393008997	34.0485312967174	44.8560684410394	48.7657412491059	0.343392408411532	-0.2047	0.0922
P37292	YBR263W	CENPK1137D_4822	fluxes_Gecko_Yu2021_Ile_N30	0.0567708089367406	32.337462831794	0.343692152861211	0.3581	0.3223	0.3509	0.2114	0.285	0.404	0.638	42.26	0.423	0.448	473	490	-0.269592	0.081633	0.63	0.666412955622567	1.9535605130226	1.06381949141417	-0.120755788701975	0.417879417879418	0.663230799016511	0.339498466822686	0.385826566944719	0.362680482975384	0.301249333638873	0.365213799990853	42.2626379809477	51.8432514025968	52.2941272257762	0.180667669342404	-0.0509	0.0585
P00927	YER086W	CENPK1137D_3497	fluxes_Gecko_Yu2021_Ile_N30	0.056946646184648	33.0109365525445	0.327175347576675	0.5084	0.2489	0.3049	0.1699	0.312	0.364	0.618	39.63	0.333	0.412	565	576	-0.166667	0.076389	0.669	0.718449180784884	1.84030619606173	1.20091715208846	-0.075393828414796	0.538461538461538	0.691913647278208	0.375977458946184	0.387351758065854	0.322546611472931	0.296425801744217	0.42230686096134	39.6263578834769	51.7492080027339	47.1813511984768	0.232145106061404	-0.2538	0.0481
P47176	YJR148W	CENPK1137D_1444	fluxes_Gecko_Yu2021_Phe_N30	0.0569507221869843	36.2710419703208	0.322650660899818	0.4096	0.2765	0.3356	0.2259	0.195	0.229	0.536	50.57	0.394	0.444	360	376	-0.2875	0.093085	0.56	0.666944072003732	0.954257928498231	0.624166135103497	-0.35313291182588	0.392370572207084	0.525853327510718	0.551059951200282	0.234806872066415	0.3761929057998	0.124196866139024	0.64545680286169	50.5684445888165	60.382654117981	39.6922416605349	0.122804060817288	-0.0707	0.0579
P49095	YMR189W	CENPK1137D_225	fluxes_Gecko_Yu2021_Ile_N30	0.0570136633260301	36.6405166619555	0.283921046970188	0.4523	0.2238	0.3781	0.1909	0.189	0.173	0.501	46.36	0.324	0.399	1002	1034	-0.195551	0.071567	0.576	0.657461332591737	1.16147723110568	0.447881941796495	-0.359364373974607	0.496031746031746	0.538181732114894	0.46335969203853	0.193676244553898	0.43242700024262	0.108390308881813	0.75304103048224	46.3564122724451	59.8027163223304	43.2219892889781	0.137689210688783	-0.1013	0.0293
P08525	YJL166W	CENPK1137D_1467	fluxes_Gecko_Yu2020_CN30	0.0570262820886757	32.3579982796831	0.263222835859868	0.5143	0.1714	0.4375	0.1667	0.211	0.286	0.57	39.15	0.256	0.39	86	94	-0.529787	0.202128	0.651	0.868185768055912	0.984833781252048	0.886177832336261	-0.253169244205919	0.604395604395604	0.634012320771918	0.64377596792616	0.467680360197266	0.52775001036113	0.172201960948458	0.35307651016417	39.1536831198191	59.3747811128087	44.5556841731577	0.349494710583908	0.0859	0.0757
P00427	YHR051W	CENPK1137D_5449	fluxes_Gecko_Lahtvee2017_EtOH40	0.0574496314030183	28.7632297689706	0.339894785303635	0.4237	0.2203	0.4054	0.2453	0.254	0.251	0.544	44.08	0.354	0.39	147	148	-0.576351	0.114865	0.646	0.761923483877466	1.38887916888604	0.874184632740773	-0.235820764964584	0.493150684931507	0.581028663248367	0.418343565275291	0.371521294564515	0.424991793094908	0.114733368171817	0.270836714043753	44.0811979450775	61	51.0436665854739	0.282740598164923	0.0278	0.0707
P05626	YPL078C	CENPK1137D_1621	fluxes_Gecko_Yu2021_Phe_N30	0.0576948507484554	39.7996415636681	0.350352828058747	0.4541	0.2108	0.3614	0.2169	0.267	0.315	0.586	41.71	0.338	0.396	237	244	-0.127049	0.057377	0.643	0.686821768076453	2.26113996079743	0.850923858336654	-0.172574756636919	0.491666666666667	0.60461021124868	0.267391767750393	0.377852462723164	0.444049674975352	0.198341270385456	0.371546323881114	41.711110462543	56.8606579188415	49.7657596118142	0.247869258699425	-0.1257	0.052
P04802	YLL018C	CENPK1137D_749	fluxes_Gecko_Yu2021_N30_010	0.0577069869705286	32.7373829528923	0.387679756088878	0.3621	0.3429	0.3287	0.2654	0.35	0.464	0.677	39.72	0.461	0.443	545	557	-0.531598	0.084381	0.673	0.726923118184549	1.905416425295	1.54060050748999	-0.02751072928923	0.558608058608059	0.781544137911561	0.410169728536143	0.457244778098517	0.296796460779751	0.396069195824411	0.404004571574052	39.7196364102411	48.1875688487544	50.6522675251109	0.230100805598299	-0.0674	0.0808
P32179	YOL064C	CENPK1137D_2456	fluxes_Gecko_Yu2020_CN30	0.0578579855691629	40.6280388279848	0.315146691621542	0.4169	0.2475	0.3933	0.2066	0.2	0.185	0.516	50.48	0.35	0.407	351	357	-0.229972	0.072829	0.578	0.646691934891117	1.0865475883216	0.573446713066512	-0.34376102083504	0.324712643678161	0.492919058350018	0.453656207650726	0.238818466069946	0.416461478683629	0.089610692413574	0.494877046432734	50.484565779821	61	43.6291638440262	0.114900588100171	-0.0618	0.0409
P04802	YLL018C	CENPK1137D_749	fluxes_Gecko_Yu2021_Phe_std	0.0582746522754878	32.7373829528923	0.387679756088878	0.3621	0.3429	0.3287	0.2654	0.35	0.464	0.677	39.72	0.461	0.443	545	557	-0.531598	0.084381	0.673	0.726923118184549	1.905416425295	1.54060050748999	-0.02751072928923	0.558608058608059	0.781544137911561	0.410169728536143	0.457244778098517	0.296796460779751	0.396069195824411	0.404004571574052	39.7196364102411	48.1875688487544	50.6522675251109	0.230100805598299	-0.0674	0.0808
P16622	YOR176W	CENPK1137D_2194	fluxes_Gecko_Yu2021_N30_030	0.0582877024117418	34.9821434448457	0.301005637928595	0.4252	0.2658	0.3624	0.2271	0.169	0.119	0.479	50.22	0.376	0.413	378	393	-0.389568	0.10687	0.548	0.646338093443204	1.03105623727872	0.632548188489243	-0.419057583045794	0.280839895013123	0.558177677878312	0.541364920454309	0.302541746041151	0.47829043153808	0.191515756582935	0.717336551174765	50.2153748407425	57.7566920840612	42.1398122086268	0.127332457488248	-0.1408	0.0261
P21264	YOR128C	CENPK1137D_2146	fluxes_Gecko_Lahtvee2017_REF	0.058293294709167	41.4743606348944	0.306746407592906	0.4255	0.1965	0.4085	0.2054	0.179	0.209	0.527	46.71	0.314	0.403	554	571	-0.003853	0.056042	0.57	0.65223289021039	1.0387169395556	0.445675970462254	-0.393430402817037	0.422101449275362	0.508394407631204	0.489444610240701	0.1872939784371	0.42024697504521	0.093760223818193	0.632761484153968	46.7051792137039	60.8884703975503	43.1478101774634	0.133694839297756	-0.0193	0.038
P16120	YCR053W	CENPK1137D_4407	fluxes_Gecko_Yu2021_Phe_std	0.0587447277157551	33.6048803486353	0.367361263253693	0.3951	0.3679	0.3653	0.1514	0.404	0.457	0.682	37.49	0.402	0.405	503	514	-0.28035	0.101167	0.727	0.765013066278839	2.22103588835383	1.61582800017543	0.077489010222254	0.566600397614314	0.765747141769215	0.344770269487525	0.454204491980518	0.281097054841979	0.375175167190548	0.211307039645695	37.4908504477065	48.0743168908229	55.2014989815243	0.23975244829551	-0.1757	0.06
P32264	YDR300C	CENPK1137D_4123	fluxes_Gecko_Yu2021_N30_010	0.0587672085120665	37.8277375553205	0.298295601736263	0.4595	0.1994	0.3815	0.2136	0.198	0.17	0.504	46.23	0.318	0.393	415	428	-0.222664	0.053738	0.591	0.698185886735687	1.15518191474087	0.628115632113583	-0.360850481846338	0.465393794749403	0.515365139882053	0.446133317450404	0.239802864367388	0.381781398371604	0.118107235160784	0.520305692339555	46.2284358002396	61	47.5188348047457	0.15658777766059	-0.0571	0.043
P32784	YBL011W	CENPK1137D_4915	fluxes_Gecko_Yu2021_Ile_N30	0.0595870479254172	41.9669806365229	0.314442587056388	0.3339	0.3339	0.3605	0.2529	0.166	0.147	0.496	53.53	0.448	0.43	736	759	-0.295389	0.086957	0.519	0.606345395011186	0.992207506644308	0.482115726270809	-0.459280019168117	0.320375335120643	0.539691481890742	0.543930053216392	0.221125656411722	0.458656800354016	0.16124088201809	1.07314363167744	53.5302451365135	58.1530221801726	35.67613981589	0.061120752867098	-0.032	0.0185
P32784	YBL011W	CENPK1137D_4915	fluxes_Gecko_Yu2021_Ile_std	0.0595870479254172	41.9669806365229	0.314442587056388	0.3339	0.3339	0.3605	0.2529	0.166	0.147	0.496	53.53	0.448	0.43	736	759	-0.295389	0.086957	0.519	0.606345395011186	0.992207506644308	0.482115726270809	-0.459280019168117	0.320375335120643	0.539691481890742	0.543930053216392	0.221125656411722	0.458656800354016	0.16124088201809	1.07314363167744	53.5302451365135	58.1530221801726	35.67613981589	0.061120752867098	-0.032	0.0185
P07284	YDR023W	CENPK1137D_3846	fluxes_Gecko_Yu2021_Phe_N30	0.0598168235233617	28.9538269159431	0.365716585299275	0.4512	0.2988	0.4116	0.1944	0.392	0.424	0.664	38.92	0.356	0.38	450	462	-0.652814	0.101732	0.737	0.777745953353473	1.77185855864713	1.48834109285853	0.029639370202806	0.561674008810573	0.697848538998528	0.393851154536486	0.399834745453724	0.268644564994033	0.302503387720323	0.249749820364611	38.9211930587918	51.5346619848209	52.6030604856016	0.23221203126832	-0.1518	0.0724
P00927	YER086W	CENPK1137D_3497	fluxes_Gecko_Yu2021_Ile_std	0.0600042078847628	33.0109365525445	0.327175347576675	0.5084	0.2489	0.3049	0.1699	0.312	0.364	0.618	39.63	0.333	0.412	565	576	-0.166667	0.076389	0.669	0.718449180784884	1.84030619606173	1.20091715208846	-0.075393828414796	0.538461538461538	0.691913647278208	0.375977458946184	0.387351758065854	0.322546611472931	0.296425801744217	0.42230686096134	39.6263578834769	51.7492080027339	47.1813511984768	0.232145106061404	-0.2538	0.0481
P11986	YJL153C	CENPK1137D_1481	fluxes_Gecko_Lahtvee2017_REF	0.0600221428807227	36.6752241214092	0.317703982543245	0.3794	0.3255	0.2931	0.2885	0.175	0.192	0.523	53.35	0.467	0.428	518	533	-0.273921	0.084428	0.54	0.648777734293283	1.05132512857965	0.602436629118203	-0.423401133441138	0.298850574712644	0.560642347910814	0.533272089356644	0.253643030354459	0.421028566482953	0.195748659919055	0.971990093222967	53.3482200626219	56.2489018818519	34.6141400440875	0.07348740956862	-0.1007	0.0407
P16120	YCR053W	CENPK1137D_4407	fluxes_Gecko_Yu2021_Ile_N30	0.0600373207799218	33.6048803486353	0.367361263253693	0.3951	0.3679	0.3653	0.1514	0.404	0.457	0.682	37.49	0.402	0.405	503	514	-0.28035	0.101167	0.727	0.765013066278839	2.22103588835383	1.61582800017543	0.077489010222254	0.566600397614314	0.765747141769215	0.344770269487525	0.454204491980518	0.281097054841979	0.375175167190548	0.211307039645695	37.4908504477065	48.0743168908229	55.2014989815243	0.23975244829551	-0.1757	0.06
P32895	YKL181W	CENPK1137D_1129	fluxes_Gecko_Yu2021_Gln_N30	0.0604050642224829	26.5035615446984	0.334977050848384	0.4943	0.2314	0.3168	0.207	0.255	0.294	0.581	43.45	0.337	0.418	415	427	-0.257143	0.04918	0.624	0.686251267745868	1.40116801040043	0.911607106116242	-0.226121281118981	0.5	0.60050696135372	0.428575985817794	0.326410511172575	0.358060516402944	0.219197193498936	0.5326016801389	43.4523688952803	55.450252420812	45.2657449012176	0.189741217521742	-0.1617	0.06
P15180	YDR037W	CENPK1137D_3858	fluxes_Gecko_Yu2020_CN115	0.0604051683006999	34.5833324043931	0.360200193781168	0.4432	0.2909	0.3981	0.1832	0.422	0.468	0.684	37.52	0.355	0.407	569	591	-0.601692	0.087986	0.749	0.8054388688457	1.93174307769712	2.12552615532126	0.059911785859433	0.600343053173242	0.751135306726271	0.38883809933033	0.434381202512539	0.204364082476739	0.374523717312716	0.308046668605279	37.5191933219004	49.1549856091736	51.340598553912	0.266730208521075	-0.1506	0.0799
P08417	YPL262W	CENPK1137D_1558	fluxes_Gecko_Yu2020_CN30	0.0607201214803557	41.7427244751749	0.328541675606843	0.4178	0.2924	0.2997	0.2594	0.253	0.302	0.583	45.63	0.425	0.439	475	488	-0.206353	0.063525	0.621	0.675654913944311	1.53479071667359	0.979027859498198	-0.192354460447774	0.364016736401674	0.621215334410465	0.404755728362008	0.343956752577763	0.351324785337629	0.222358777477942	0.470321176634173	45.6300118269871	55.5475697873941	47.5085679236822	0.156271245107364	-0.1612	0.0344
P40495	YIL094C	CENPK1137D_5166	fluxes_Gecko_Yu2020_CN30	0.0611171028121237	31.7837791120975	0.357611260759681	0.4389	0.2541	0.3675	0.1648	0.314	0.427	0.656	40.29	0.333	0.422	366	371	-0.115364	0.056604	0.661	0.725651596897748	1.92714602498018	1.53081258924289	-0.066742799035486	0.673076923076923	0.652788327631961	0.338733193629515	0.400962769555668	0.261928058583564	0.285337824246628	0.322629361026414	40.288029115443	54.4890890859041	49.9787571711697	0.246131832435339	-0.0624	0.0856
P16603	YHR042W	CENPK1137D_5438	fluxes_Gecko_Yu2021_N30_010	0.0611558436481057	40.2907476723204	0.337577263845192	0.3345	0.3965	0.2649	0.2731	0.226	0.298	0.582	49.29	0.522	0.465	673	691	-0.253256	0.099855	0.572	0.658755355526794	1.53264087675712	1.04832948113003	-0.269554846033988	0.407952871870398	0.720073371992042	0.469825242763738	0.41877358853608	0.399467530079064	0.38080299135798	0.655370253942765	49.2948635118652	49.6333471693884	45.7260575916157	0.123398269345284	-0.1978	0.0377
P16603	YHR042W	CENPK1137D_5438	fluxes_Gecko_Lahtvee2017_EtOH20	0.061203167718358	40.2907476723204	0.337577263845192	0.3345	0.3965	0.2649	0.2731	0.226	0.298	0.582	49.29	0.522	0.465	673	691	-0.253256	0.099855	0.572	0.658755355526794	1.53264087675712	1.04832948113003	-0.269554846033988	0.407952871870398	0.720073371992042	0.469825242763738	0.41877358853608	0.399467530079064	0.38080299135798	0.655370253942765	49.2948635118652	49.6333471693884	45.7260575916157	0.123398269345284	-0.1978	0.0377
P29509	YDR353W	CENPK1137D_4179	fluxes_Gecko_Yu2021_Phe_std	0.0612422007221961	33.0992440064698	0.369478951772066	0.4048	0.3294	0.315	0.1853	0.315	0.403	0.643	42.89	0.409	0.457	308	319	-0.158307	0.068966	0.65	0.705648483694116	1.61541318507938	1.29395553656494	-0.089962937065393	0.345047923322684	0.656347631697036	0.406303252789646	0.395934013743884	0.305987340797635	0.23831744533123	0.278691376197478	42.8887059969122	56.0568190617726	54.4972490257405	0.214138189530015	-0.1332	0.0655
P38169	YBL098W	CENPK1137D_4916	fluxes_Gecko_Yu2020_CN115	0.0613558256781513	46.7820779865406	0.29061106851152	0.429	0.235	0.4109	0.2109	0.165	0.097	0.463	51.45	0.336	0.386	441	460	-0.282391	0.095652	0.551	0.667641465755394	0.960529446858056	0.406128354780943	-0.451017853297512	0.490022172949002	0.504507529388351	0.525239003383626	0.195331695171588	0.480960496533038	0.127055665521594	0.727757853499731	51.4477840590895	60.9617781686518	40.1754706523878	0.126627969882045	-0.0802	0.0348
P25340	YGL012W	CENPK1137D_2960	fluxes_Gecko_Lahtvee2017_REF	0.0613605408913919	29.5774679622733	0.305844222401489	0.4016	0.2846	0.2838	0.3418	0.23	0.282	0.578	46.12	0.459	0.415	438	473	0.124947	0.205074	0.627	0.773253930967175	1.08063785111583	1.03069053066398	-0.268290805935764	0.543103448275862	0.609142917873707	0.563688304314646	0.344030822329242	0.333786730443342	0.244485696013924	0.562227668974628	46.1248309132623	56.1054684470541	45.6720254975385	0.129612452046435	-0.0433	0.0606
